Year,Score
2000,4.0222351090881805
2001,4.243451437673948
2002,4.264794849303609
2003,4.23338834986946
2004,4.137632288846686
2005,4.2384734562609125
2006,4.310956323184469
2007,4.141706437043687
2008,4.256635971874624
2009,4.418254195331385
2010,4.037744443210032
2011,4.0664127230915
2012,4.310631204589785
2013,4.250602828032075
